site_code,plot,year,Taxon,block,Family,functional_group,trt,leaf_pct_N,leaf_pct_C,leaf_pct_P,leaf_pct_K,SLA_v2,site_name,continent,country,region,habitat,latitude,longitude,MAT,TEMP_VAR,MAP,MAP_VAR,N,P,K,Exclose,first_nutrient_year,first_fenced_year,year_trt,soil_pctN,soil_ppmP,Soil_ppmK,max_cover
bldr.us,1,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,P,1.777253714,44.70139388,0.48545286,1.09919759,1109.605,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,0,0,2009,2009,3,0.094,20,78,26
bldr.us,1,2011,POA COMPRESSA,1,Poaceae,grass,P,1.969838359,45.01158278,0.50728524,1.73791332,3133.48,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,0,0,2009,2009,3,0.094,20,78,2
bldr.us,1,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,P,1.724761574,46.45639265,0.66246256,1.443295008,3170.685,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,0,0,2009,2009,3,0.094,20,78,9
bldr.us,2,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,Fence,1.697672832,45.11463376,0.389026645,0.82064185,1272.02,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,1,2009,2009,3,0.096,18,94,3
bldr.us,2,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,Fence,1.928260396,42.9099533,0.5252184,1.6503186,63032.44,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,1,2009,2009,3,0.096,18,94,35
bldr.us,3,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,N,2.647895291,47.86193244,0.183502908,1.570639392,1661.395,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,0,0,2009,2009,3,0.104,15,98,1
bldr.us,3,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,N,3.100310051,46.15550498,0.171663395,1.183809088,4881.7,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,0,0,2009,2009,3,0.104,15,98,40
bldr.us,4,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,NK,2.972999573,45.10670345,0.166950028,2.3771389,8070.48,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,1,0,2009,2009,3,0.123,15,83,48
bldr.us,5,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,PK,2.378294823,45.0393749,0.430212528,1.296582732,1288.595,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,1,0,2009,2009,3,0.102,15,92,3
bldr.us,5,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,PK,2.22140047,46.58676782,0.523078836,1.986656028,7255.375,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,1,0,2009,2009,3,0.102,15,92,45
bldr.us,6,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,K,1.779347168,45.36430899,0.191744555,0.984943168,1182.02,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,1,0,2009,2009,3,0.102,18,80,18
bldr.us,6,2011,ELYMUS SMITHII,1,Poaceae,grass,K,2.243823452,49.53363301,0.262411318,2.288074528,3214.655,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,1,0,2009,2009,3,0.102,18,80,1
bldr.us,6,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,K,1.888520937,46.20308903,0.274676835,1.69518807,3789.01,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,1,0,2009,2009,3,0.102,18,80,7
bldr.us,7,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,NPK,2.125903426,43.67946766,0.354324048,1.419043352,1603.66,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,0,2009,2009,3,0.088,14,87,19
bldr.us,7,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,NPK,3.016654264,46.66065293,0.362649292,1.991118192,5867.915,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,0,2009,2009,3,0.088,14,87,35
bldr.us,8,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,NP,2.611412733,47.24955867,0.3428838,1.721034,2855.15,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,0,0,2009,2009,3,0.104,14,85,2
bldr.us,8,2011,ELYMUS SMITHII,1,Poaceae,grass,NP,3.074606261,44.63815139,0.253722392,2.211545072,6296.42,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,0,0,2009,2009,3,0.104,14,85,0.1
bldr.us,8,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,NP,2.795731069,48.76518493,0.5695752,2.1290799,5857.7,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,0,0,2009,2009,3,0.104,14,85,48
bldr.us,9,2011,CONVOLVULUS ARVENSIS,1,Convolvulaceae,forbs,NPK+Fence,4.978885657,45.2333517,0.259076531,2.920966208,5917.265,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,1,2009,2009,3,0.204,21,127,2
bldr.us,9,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,NPK+Fence,1.839913659,46.01308819,0.232457676,2.594949148,7845.085,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,1,2009,2009,3,0.204,21,127,52
bldr.us,10,2011,BUCHLOE DACTYLOIDES,1,Poaceae,grass,Control,1.7975472,47.79552909,NA,NA,1203.465,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,0,2009,2009,3,0.097,15,87,5
bldr.us,10,2011,SPOROBOLUS AIROIDES,1,Poaceae,grass,Control,1.811576538,46.49225328,0.330279168,1.685985888,5234.105,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,0,2009,2009,3,0.097,15,87,40
bldr.us,11,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,N,2.449464763,47.31602697,0.192505146,1.0977312,3145.355,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,0,0,2009,2009,3,0.093,14,83,9
bldr.us,11,2011,CONVOLVULUS ARVENSIS,2,Convolvulaceae,forbs,N,4.259202544,44.78451378,0.238592088,3.523459875,10358.925,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,0,0,2009,2009,3,0.093,14,83,12
bldr.us,11,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,N,2.138957442,45.50281858,0.191226358,1.47384217,9441.235,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,0,0,2009,2009,3,0.093,14,83,26
bldr.us,12,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,Control,2.192957824,47.46934147,0.160991114,1.0727994,2366.775,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,0,2009,2009,3,0.081,16,104,12
bldr.us,12,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,Control,2.079491855,45.98389671,0.49501776,1.36710432,6287.22,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,0,2009,2009,3,0.081,16,104,28
bldr.us,13,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,K,2.24599377,45.45120465,0.369289375,2.077792465,1807.205,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,1,0,2009,2009,3,0.088,16,100,7
bldr.us,13,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,K,1.872683964,48.54612293,0.31045167,1.7039646,9732.08,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,1,0,2009,2009,3,0.088,16,100,36
bldr.us,14,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,P,1.891377768,46.2984755,0.64932945,1.06091867,2708.19,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,0,0,2009,2009,3,0.103,16,113,8
bldr.us,14,2011,CONVOLVULUS ARVENSIS,2,Convolvulaceae,forbs,P,4.514301203,46.27778876,0.30219534,2.6563572,4301.33,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,0,0,2009,2009,3,0.103,16,113,3
bldr.us,14,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,P,2.092151533,45.01118703,0.63645554,1.12212423,6649.4,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,0,0,2009,2009,3,0.103,16,113,35
bldr.us,15,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,NPK+Fence,2.050321172,45.78768871,0.129786086,1.08471772,2176.42,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,1,2009,2009,3,0.138,26,116,5
bldr.us,15,2011,CONVOLVULUS ARVENSIS,2,Convolvulaceae,forbs,NPK+Fence,6.24291664,45.37758324,0.38934324,4.900824,18502.905,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,1,2009,2009,3,0.138,26,116,23
bldr.us,15,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,NPK+Fence,2.524408248,46.12571908,0.28090734,2.02101069,10746.81,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,1,2009,2009,3,0.138,26,116,13
bldr.us,16,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,PK,1.684246959,45.72464218,0.52995275,1.114089625,2415.245,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,1,0,2009,2009,3,0.096,17,90,13
bldr.us,16,2011,POA COMPRESSA,2,Poaceae,grass,PK,0.657595748,46.73007617,0.150774345,0.33154935,3031.265,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,1,0,2009,2009,3,0.096,17,90,NA
bldr.us,16,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,PK,1.988990801,46.48609919,0.6624255,1.20259282,7101.11,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,1,1,0,2009,2009,3,0.096,17,90,24
bldr.us,17,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,NPK,2.521488442,43.51865103,0.33596668,1.28903278,2997.41,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,0,2009,2009,3,0.097,17,94,4
bldr.us,17,2011,ELYMUS SMITHII,2,Poaceae,grass,NPK,3.398617094,48.65042226,0.179341377,1.819577305,5884.86,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,0,2009,2009,3,0.097,17,94,1
bldr.us,17,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,NPK,2.721710261,45.98596162,0.26832831,1.81759665,8023.3,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,1,1,0,2009,2009,3,0.097,17,94,50
bldr.us,18,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,NK,2.656930318,46.93478299,0.193231395,1.384347825,1655.17,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,1,0,2009,2009,3,0.079,15,77,4
bldr.us,18,2011,ELYMUS SMITHII,2,Poaceae,grass,NK,5.158170579,45.70799953,0.524750694,4.97371602,8175.605,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,1,0,2009,2009,3,0.079,15,77,0.1
bldr.us,18,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,NK,3.053165911,45.99267254,0.131493987,1.572730635,5983.59,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,1,0,1,0,2009,2009,3,0.079,15,77,43
bldr.us,19,2011,BUCHLOE DACTYLOIDES,2,Poaceae,grass,Fence,1.88139172,47.84442533,0.16219116,0.9843903,933.01,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,1,2009,2009,3,0.075,13,92,14
bldr.us,19,2011,ELYMUS SMITHII,2,Poaceae,grass,Fence,3.259359568,51.22146579,0.23407997,1.799137625,5938.065,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,1,2009,2009,3,0.075,13,92,0.1
bldr.us,19,2011,SPOROBOLUS AIROIDES,2,Poaceae,grass,Fence,1.811175326,47.48224719,0.38317974,1.03320832,8570.76,Boulder South Campus,North America,US,Central plains (North America),SHORTGRASS PRAIRIE,39.972022,-105.233544,9.7,79.52,425,42,0,0,0,1,2009,2009,3,0.075,13,92,32
bnch.us,1,2011,CAREX PENSYLVANICA,1,Cyperaceae,sedges,NK,2.812327972,51.30374535,0.067441,1.676283,10740.59,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,0,1,0,2008,2008,4,0.678,15,87,25
bnch.us,1,2011,FESTUCA IDAHOENSIS,1,Poaceae,grass,NK,2.784447765,48.30940032,0.157321,2.401209,2513.33,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,0,1,0,2008,2008,4,0.678,15,87,24
bnch.us,1,2011,PHLOX DIFFUSA,1,Polemoniaceae,forbs,NK,2.885348269,51.67253294,NA,NA,403.97,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,0,1,0,2008,2008,4,0.678,15,87,65
bnch.us,2,2011,ERIGERON ALICEAE,1,Asteraceae,forbs,K,2.745882231,49.46760938,0.309392,4.358373,15133.7,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,1,0,2008,2008,4,0.706,12,69,30
bnch.us,2,2011,FRAGARIA VESCA,1,Rosaceae,forbs,K,2.546285639,47.31098125,0.295914,1.342183,24182.795,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,1,0,2008,2008,4,0.706,12,69,40
bnch.us,2,2011,PHLOX DIFFUSA,1,Polemoniaceae,forbs,K,1.940895479,51.70775968,NA,NA,333.935,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,1,0,2008,2008,4,0.706,12,69,55
bnch.us,3,2011,FESTUCA IDAHOENSIS,1,Poaceae,grass,PK,2.263205459,50.97084387,0.221695,1.383139,2744.645,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,1,0,2008,2008,4,0.792,14,64,28
bnch.us,3,2011,PHLOX DIFFUSA,1,Polemoniaceae,forbs,PK,1.947030489,46.32571233,NA,NA,405.855,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,1,0,2008,2008,4,0.792,14,64,30
bnch.us,3,2011,SYMPHYOTRICHUM SPATHULATUM,1,Asteraceae,forbs,PK,2.069631926,52.33669589,0.163364,0.792938,6994.775,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,1,0,2008,2008,4,0.792,14,64,NA
bnch.us,4,2011,ACHILLEA MILLEFOLIUM,1,Asteraceae,forbs,N,4.151183334,48.44281232,0.152034,3.973742,20419.39,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,0,0,0,2008,2008,4,0.484,14,81,25
bnch.us,4,2011,CAREX PENSYLVANICA,1,Cyperaceae,sedges,N,3.266118975,56.56422081,0.083269,1.175659,6835.15,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,0,0,0,2008,2008,4,0.484,14,81,20
bnch.us,4,2011,PHLOX DIFFUSA,1,Polemoniaceae,forbs,N,2.774234392,45.56757407,NA,NA,594.06,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,0,0,0,2008,2008,4,0.484,14,81,35
bnch.us,5,2011,CAREX PENSYLVANICA,1,Cyperaceae,sedges,NPK,2.270875921,46.73472338,0.276024,1.915053,11565.33,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,0,2008,2008,4,0.574,17,70,35
bnch.us,5,2011,ERIGERON ALICEAE,1,Asteraceae,forbs,NPK,3.504971643,46.783829,0.323722,3.778001,10483.6,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,0,2008,2008,4,0.574,17,70,15
bnch.us,5,2011,LUPINUS LATIFOLIUS,1,Fabaceae,legume,NPK,5.732377891,52.53302816,0.126587,1.703691,30730.18,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,0,2008,2008,4,0.574,17,70,30
bnch.us,6,2011,ACHILLEA MILLEFOLIUM,1,Asteraceae,forbs,NP,3.619126063,45.85905643,0.395778,3.685209,2404.21,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,0,0,2008,2008,4,0.52,12,109,20
bnch.us,6,2011,FESTUCA IDAHOENSIS,1,Poaceae,grass,NP,3.28372501,50.03410965,0.256825,2.08758,3575.275,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,0,0,2008,2008,4,0.52,12,109,40
bnch.us,6,2011,LUPINUS LATIFOLIUS,1,Fabaceae,legume,NP,5.958015851,48.25809999,0.27871,1.611132,30514.02,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,0,0,2008,2008,4,0.52,12,109,28
bnch.us,7,2011,FESTUCA IDAHOENSIS,1,Poaceae,grass,Control,2.101024269,47.71454047,0.238919,2.359845,2752.18,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,0,0,2008,2008,4,0.428,11,88,35
bnch.us,7,2011,LUPINUS LATIFOLIUS,1,Fabaceae,legume,Control,5.579951234,49.63979939,0.179291,1.23892,30362.09,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,0,0,2008,2008,4,0.428,11,88,35
bnch.us,7,2011,SYMPHYOTRICHUM SPATHULATUM,1,Asteraceae,forbs,Control,2.529202452,47.98600264,0.171821,1.385821,8917.265,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,0,0,2008,2008,4,0.428,11,88,NA
bnch.us,8,2011,CAREX PENSYLVANICA,1,Cyperaceae,sedges,P,2.918135656,48.45093366,0.891622,2.083548,11047.04,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,0,0,2008,2008,4,0.417,12,86,35
bnch.us,8,2011,FESTUCA IDAHOENSIS,1,Poaceae,grass,P,2.697463411,48.69522376,0.335455,2.171681,2039.48,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,0,0,2008,2008,4,0.417,12,86,25
bnch.us,8,2011,LUPINUS LATIFOLIUS,1,Fabaceae,legume,P,5.690954191,49.57941453,0.189596,1.087154,29074.88,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,0,0,2008,2008,4,0.417,12,86,25
bnch.us,9,2011,ACHILLEA MILLEFOLIUM,1,Asteraceae,forbs,NPK+Fence,3.209679525,49.9360173,0.255327,3.965075,33606.26,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,1,2008,2008,4,0.523,11,76,30
bnch.us,9,2011,CAREX PENSYLVANICA,1,Cyperaceae,sedges,NPK+Fence,2.987304307,48.67232277,0.21121,2.069979,11311.175,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,1,2008,2008,4,0.523,11,76,25
bnch.us,9,2011,ERIGERON ALICEAE,1,Asteraceae,forbs,NPK+Fence,3.326432977,43.85707662,0.269056,3.579816,11815.015,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,1,2008,2008,4,0.523,11,76,65
bnch.us,10,2011,CAREX PENSYLVANICA,1,Cyperaceae,sedges,Fence,2.472407785,50.09172796,0.105805,1.639982,5636.98,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,0,1,2008,2008,4,0.52,12,91,35
bnch.us,10,2011,FESTUCA IDAHOENSIS,1,Poaceae,grass,Fence,2.107573067,53.42152101,0.146007,1.200816,1831.96,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,0,1,2008,2008,4,0.52,12,91,20
bnch.us,10,2011,LUPINUS LATIFOLIUS,1,Fabaceae,legume,Fence,4.908532466,45.91092183,0.152469,1.612903,26916.84,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,0,0,1,2008,2008,4,0.52,12,91,15
bnch.us,11,2011,BROMUS CARINATUS,2,Poaceae,grass,PK,3.171363684,48.38165759,0.191807,3.113761,33755.365,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,1,0,2008,2008,4,0.715,14,90,20
bnch.us,11,2011,CAREX PENSYLVANICA,2,Cyperaceae,sedges,PK,2.844589765,47.75800439,0.234516,2.106453,10310.63,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,1,0,2008,2008,4,0.715,14,90,45
bnch.us,11,2011,LUPINUS LATIFOLIUS,2,Fabaceae,legume,PK,5.969173441,48.66564639,0.225003,2.089755,22005.83,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,1,0,2008,2008,4,0.715,14,90,25
bnch.us,12,2011,ACHILLEA MILLEFOLIUM,2,Asteraceae,forbs,P,3.387594248,49.73943841,0.422204,3.367579,22934.53,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,0,0,2008,2008,4,0.578,14,92,15
bnch.us,12,2011,FRAGARIA VESCA,2,Rosaceae,forbs,P,2.474045488,47.31649458,0.303069,1.470961,NA,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,0,0,2008,2008,4,0.578,14,92,20
bnch.us,12,2011,LATHYRUS NEVADENSIS,2,Fabaceae,legume,P,4.825067183,49.55282317,0.272032,1.331907,13744.105,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,0,1,0,0,2008,2008,4,0.578,14,92,20
bnch.us,13,2011,CAREX PENSYLVANICA,2,Cyperaceae,sedges,NPK+Fence,3.413960748,47.87939194,0.224524,2.204516,12429.255,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,1,2008,2008,4,0.557,13,66,45
bnch.us,13,2011,FESTUCA IDAHOENSIS,2,Poaceae,grass,NPK+Fence,3.189575985,49.05716373,0.228306,1.946715,1751.4,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,1,2008,2008,4,0.557,13,66,15
bnch.us,13,2011,LUPINUS LATIFOLIUS,2,Fabaceae,legume,NPK+Fence,5.325418143,45.11645463,0.202811,2.271921,33212.655,Bunchgrass (Andrews LTER),North America,US,Montane West (North America),MONTANE GRASSLAND,44.27668543,-121.9680169,5.5,60.55,1647,65,1,1,1,1,2008,2008,4,0.557,13,66,28
